806128,94,,20,https://www.efarma.com/lamisil-spray-cutaneo-flacone-30-ml-1.html,Lamisil Spray Cutaneo 1% Terbinafina cloridrato Flacone 30 ml,28176067,,,,,Lamisil Spray Cutaneo si usa nelle infezioni micotiche della cute causate da dermatofiti,,16.12
806256,94,,20,https://www.efarma.com/flebostasin-r-30-capsule-50-mg-a-rilascio-modificato.html,Flebostasin R 50 mg 30 Capsule a Rilascio Modificato,28424012,,,,,Flebostasin R si usa nei sintomi attribuibili ad insufficienza venosa,,15.81
808177,94,,20,https://www.efarma.com/uriage-gel-gommage-esfoliante-delicato-50-ml.html,Uriage Gelée Gommage Delicato Gel Esfoliante Viso 50 ml,974696205,,,,,Gel esfoliante indicato per una rimozione delicata delle impurità e delle cellule morte presenti sulla pelle,,13.09
814320,94,,20,https://www.efarma.com/frutta-fibre-integratore-24-cubetti.html,Frutta &amp  Fibre Integratore 24 Cubetti,900996354,,,,,Frutta &FibreIntegratore 24 Cubetti,,10.79
819081,94,,20,https://www.efarma.com/tecniwork-night-day-rialzo-anti-shock-in-gel-taglia-m-l.html,Tecniwork Night &amp  Day Rialzo Anti Shock In Gel Taglia M/L,932236906,,,,,Tecniwork Night & Day Rialzo Anti Shock è un prodotto in gel che posizionato all’interno della calzatura dona un’immediata sensazione di comfort e consente di muoversi con facilità.,,9.18
815630,94,,20,https://www.efarma.com/curaprox-cps28-strong-implant-scovolino-interdentale-viola-5-pezzi.html,Curaprox CPS28 Strong &amp  Implant Scovolino Interdentale Viola 5 Pezzi,906584305,,,,,Curaprox CPS28 Strong & Implant Scovolino Interdentale Viola 5 Pezzi,,8.29
811401,94,,20,https://www.efarma.com/vebix-phytamin-doccia-shampoo-sport-igienizzante-200-ml.html,Vebix Phytamin Doccia&amp Shampoo Sport Igienizzante 200 ml,935545576,,,,,Vebix Phytamin Doccia&ShampooSport Igienizzante 200 ml,,5.86
819320,94,,20,https://www.efarma.com/tecniwork-night-day-comfort-protezione-tallone-in-gel-confezione-12-paia.html,Tecniwork Night &amp  Day Comfort Protezione Tallone In Gel Confezione 12 Paia,935980995,,,,,Tecniwork Night & Day Comfort Protezione Tallone In Gel Confezione 12 Paia,,4.74
814416,94,,20,https://www.efarma.com/giuliani-giusto-ciok-crok-latte-senza-glutine-125g.html,Giusto Senza Glutine Ciok&amp Crok Cereali Al Latte 125 g,924878655,,,,,Fiocchi di cerali senza glutine resi deliziosi dalle nocciole e dalla copertura di croccante cioccolato al latte indicati per celiaci ed intolleranti.,Giusto,3.63
805683,94,,20,https://www.efarma.com/ruscoroid-crema-rettale-40-gr-1-1.html,Ruscoroid Crema Rettale 1%+1% Ruscogenine Emorroidi 40g,25825023,,,,,Ruscoroid Crema Rettale si usa nel trattamento dei sintomi associati ademorroidi ragadi anali e proctiti quali: prurito dolore e senso di peso.,,8.02
805699,94,,20,https://www.efarma.com/sowash-scovolino-multifunzione-soprox-per-igiene-dentale.html,SoWash Scovolino Multifunzione Soprox Per Igiene Dentale,903785893,,,,,SoWash Scovolino Multifunzione Soprox Per Igiene Dentale,,6.68
805714,94,,20,https://www.efarma.com/osmin-crema-viso-idratante.html,Osmin Crema Viso Idratante,904011501,,,,,Osmin Crema Viso Idratante,,14.61
805718,94,,20,https://www.efarma.com/euphidra-skin-color-t-equalizer-fondotinta-scuro-30-ml.html,Euphidra Skin Color T Equalizer Fondotinta Scuro 30 ml Shine Lipgloss Lucidalabbra Luminoso LM4,904048319,,,,,Euphidra Skin Color T Equalizer Fondotinta Scuro 30 ml,,14.91
805734,94,,20,https://www.efarma.com/euphidra-care-shine-lipgloss-lucidalabbra-luminoso-lm4.html,Euphidra Care&amp,904048030,,,,,Euphidra Care&Shine Lipgloss Lucidalabbra Luminoso LM4,,9.34
805747,94,,20,https://www.efarma.com/euphidra-extra-color-tintura-permanente-con-proteine-della-seta-colore-6-biondo-scuro.html,Euphidra Extra Color Tintura Permanente Con Proteine Della Seta Colore 6 Biondo Scuro,904440031,,,,,Euphidra Extra Color Tintura Permanente ConProteineDella Seta Colore 6 Biondo Scuro,,11.03
805767,94,,20,https://www.efarma.com/euphidra-extra-color-kit-per-tintura-permanente-con-proteine-della-seta-n-9-biondo-chiarissimo.html,Euphidra Extra Color Kit Per Tintura Permanente Con Proteine Della Seta n°9 Biondo Chiarissimo,904440118,,,,,Euphidra Extra Color Kit Per Tintura Permanente ConProteineDella Seta n°9 Biondo Chiarissimo,,10.89
805781,94,,20,https://www.efarma.com/kenogen-donna-shampoo-coadiuvante-per-la-ricrescita-250-ml.html,Kenogen Donna Shampoo Coadiuvante Per La Ricrescita 250 ml,904557206,,,,,Kenogen DonnaShampooCoadiuvante Per La Ricrescita 250 ml,,31.67
